Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,id_vehicule_x,num_veh_x,senc,catv,obs,obsm,choc,manv,motor,occutc,id_usager_x,id_vehicule_y,num_veh_y,place_x,catu_x,grav_x,sexe_x,an_nais_x,trajet_x,secu1_x,secu2_x,secu3_x,locp_x,actp_x,etatp_x,id_usager_y,id_vehicule,num_veh,place_y,catu_y,grav_y,sexe_y,an_nais_y,trajet_y,secu1_y,secu2_y,secu3_y,locp_y,actp_y,etatp_y,id_usager,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp
202200001982,24.0,11.0,2022.0,17:45,5.0,69,69384,2.0,1.0,1.0,3.0,34 Boulevard de la Croix-Rousse,45.7729621773,4.8210740089,4.0,CROIX-ROUSSE (DE LA)                (BD),0.0,,1.0,3,2.0,2.0,(1),(1),1.0,, -1,1.0,0.0,1.0,30.0,810 422,B01,1.0,1.0,12.0,2.0,0.0,0.0,0.0,,1 094 995,810 425,A01,1.0,1.0,1.0,2.0,1982.0,0.0,1.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200002065,24.0,11.0,2022.0,20:10,5.0,69,69266,2.0,2.0,1.0,3.0,Cours Emile Zola,45.76552,4.90109,4.0,EMILE ZOLA     (Cours),0.0,,2.0,2,2.0,3.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,810 277,B01,1.0,1.0,0.0,2.0,8.0,1.0,5.0,,1 094 802,810 277,B01,1.0,1.0,4.0,1.0,1998.0,2.0,2.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200002065,24.0,11.0,2022.0,20:10,5.0,69,69266,2.0,2.0,1.0,3.0,Cours Emile Zola,45.76552,4.90109,4.0,EMILE ZOLA     (Cours),0.0,,2.0,2,2.0,3.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,810 277,B01,1.0,1.0,0.0,2.0,8.0,1.0,5.0,,1 094 808,810 281,A01,1.0,1.0,1.0,1.0,1994.0,9.0,1.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200002362,18.0,10.0,2022.0,01:47,5.0,69,69386,2.0,1.0,1.0,3.0,Avenue de Grande-Bretagne,45.77332,4.84131,4.0,GRANDE BRETAGNE (DE)                (AV),0.0,,1.0,1,1.0,2.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,809 771,B01,1.0,1.0,0.0,2.0,8.0,0.0,5.0,,1 094 126,809 769,A01,1.0,1.0,1.0,-1.0,,-1.0,8.0,-1.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200002362,18.0,10.0,2022.0,01:47,5.0,69,69386,2.0,1.0,1.0,3.0,Avenue de Grande-Bretagne,45.77332,4.84131,4.0,GRANDE BRETAGNE (DE)                (AV),0.0,,1.0,1,1.0,2.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,809 771,B01,1.0,1.0,0.0,2.0,8.0,0.0,5.0,,1 094 129,809 771,B01,1.0,1.0,3.0,1.0,1973.0,0.0,8.0,-1.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200002628,16.0,9.0,2022.0,19:35,1.0,69,69266,2.0,1.0,1.0,1.0,Avenue Jean Capelle Ouest,45.7812,4.8719,4.0,JEAN CAPELLE   (avenue),0.0,,2.0,2,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,30.0,809 318,B01,0.0,1.0,0.0,2.0,1.0,0.0,5.0,,1 093 512,809 317,A01,1.0,1.0,1.0,2.0,2000.0,0.0,1.0,-1.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200002628,16.0,9.0,2022.0,19:35,1.0,69,69266,2.0,1.0,1.0,1.0,Avenue Jean Capelle Ouest,45.7812,4.8719,4.0,JEAN CAPELLE   (avenue),0.0,,2.0,2,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,30.0,809 318,B01,0.0,1.0,0.0,2.0,1.0,0.0,5.0,,1 093 513,809 317,A01,2.0,2.0,1.0,2.0,2001.0,0.0,1.0,-1.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200002628,16.0,9.0,2022.0,19:35,1.0,69,69266,2.0,1.0,1.0,1.0,Avenue Jean Capelle Ouest,45.7812,4.8719,4.0,JEAN CAPELLE   (avenue),0.0,,2.0,2,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,30.0,809 318,B01,0.0,1.0,0.0,2.0,1.0,0.0,5.0,,1 093 514,809 318,B01,1.0,1.0,4.0,2.0,2004.0,0.0,2.0,-1.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200002762,5.0,7.0,2022.0,15:45,1.0,69,69121,2.0,1.0,1.0,3.0,33 Chemin de Vavre,45.855647,4.69262,6.0,**,0.0, -,-1.0,0,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,8.0,30.0,809 092,B01,0.0,1.0,0.0,2.0,3.0,15.0,5.0,,1 093 216,809 092,B01,1.0,1.0,4.0,1.0,2009.0,5.0,0.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200002762,5.0,7.0,2022.0,15:45,1.0,69,69121,2.0,1.0,1.0,3.0,33 Chemin de Vavre,45.855647,4.69262,6.0,**,0.0, -,-1.0,0,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,8.0,30.0,809 092,B01,0.0,1.0,0.0,2.0,3.0,15.0,5.0,,1 093 217,809 093,A01,1.0,1.0,1.0,2.0,1972.0,3.0,1.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
